turn_index,conversation_text,task_id,task_source,task_text,raw_task_text,likert_score,rating_label,short_reason,judge_error
6,My LDL cholesterol was 162 mg/dL and my HDL was 36 mg/dL in my last blood test.,11,rule,Discuss LDL reduction with your doctor: LDL above 130 mg/dL,Discuss LDL reduction with your doctor: LDL above 130 mg/dL,5,excellent match,"The task directly flags the LDL of 162 mg/dL, explicitly above the 130 mg/dL threshold mentioned, making it a highly relevant and actionable next step.",
6,My LDL cholesterol was 162 mg/dL and my HDL was 36 mg/dL in my last blood test.,12,rule,Increase physical activity to raise HDL: current HDL below 40 mg/dL,Increase physical activity to raise HDL: current HDL below 40 mg/dL,4,good match,Explicitly flags that the reported HDL of 36 mg/dL is below the 40 mg/dL threshold and recommends exercise to raise it.,
6,My LDL cholesterol was 162 mg/dL and my HDL was 36 mg/dL in my last blood test.,13,llm,"Consider a stress management programme to address the interplay between high blood pressure, poor sleep, and type 2 diabetes management, as chronic stress can exacerbate HbA1c levels and cardiovascular risk","[LLM] Consider a stress management programme to address the interplay between high blood pressure, poor sleep, and type 2 diabetes management, as chronic stress can exacerbate HbA1c levels and cardiovascular risk",1,very poor match,"The user reported LDL/HDL numbers only; the task jumps to unmentioned issues like stress, hypertension, sleep, and diabetes, none of which are stated or implied in the current query.",
7,I do not exercise at all. I sit at a desk for 10 hours a day.,14,rule,Try to do more exercise to reduce weight,Try to do more exercise to reduce weight,2,weak match,"The user states they are sedentary, so advising 'more exercise' is relevant, but the task is generic and adds an unsupported 'to reduce weight' goal.",
7,I do not exercise at all. I sit at a desk for 10 hours a day.,15,llm,"Consider a stress-reducing mindfulness programme to address the interplay between work stress, poor sleep, and elevated HbA1c levels, as chronic stress can exacerbate diabetes management and cardiovascular risk","[LLM] Consider a stress-reducing mindfulness programme to address the interplay between work stress, poor sleep, and elevated HbA1c levels, as chronic stress can exacerbate diabetes management and cardiovascular risk",2,weak match,"The query only mentions no exercise and prolonged sitting; task jumps to stress, sleep, HbA1c, and diabetes without any of those appearing in the current utterance.",
8,My abdominal circumference was measured at 108 cm at my last appointment.,16,rule,Reduce abdominal circumference through diet and exercise: central obesity detected,Reduce abdominal circumference through diet and exercise: central obesity detected,3,moderate match,"The user only states a waist measurement; a single number lacks clinical context about whether 108 cm is problematic without knowing sex/ethnic thresholds. The task jumps to 'central obesity detected' and a generic 'reduce' goal without explicit user concern, making it partly generic.",
8,My abdominal circumference was measured at 108 cm at my last appointment.,17,llm,"Consider a comprehensive eye examination to detect potential diabetic retinopathy, given the diagnosis of type 2 diabetes with an HbA1c of 8.3% and a 20-year smoking history, which increases the risk of vision complications","[LLM] Consider a comprehensive eye examination to detect potential diabetic retinopathy, given the diagnosis of type 2 diabetes with an HbA1c of 8.3% and a 20-year smoking history, which increases the risk of vision complications",1,very poor match,"The user only states an abdominal circumference; the task jumps to diabetes, HbA1c, and retinopathy—none of which are mentioned or implied in the query.",
9,Can you save my weight as 102 kg and my blood pressure as 155/95?,18,llm,"Consider a renal function test to assess potential kidney damage due to uncontrolled diabetes (HbA1c 8.3%) and high blood pressure (155/95 mmHg), given the potential for diabetic nephropathy and hypertensive nephrosclerosis","[LLM] Consider a renal function test to assess potential kidney damage due to uncontrolled diabetes (HbA1c 8.3%) and high blood pressure (155/95 mmHg), given the potential for diabetic nephropathy and hypertensive nephrosclerosis",1,very poor match,"The user only asked to record two vital signs; the task abruptly jumps to advanced kidney-workup advice and assumes uncontrolled diabetes, neither of which appear in the query.",
10,My Framingham score came out at 23 percent according to my cardiologist. He said it was high.,19,rule,Urgent cardiology review: Framingham 10-year cardiovascular risk ≥20%,Urgent cardiology review: Framingham 10-year cardiovascular risk ≥20%,5,excellent match,"The task directly flags a quantified 'high' Framingham score of 23%, which unequivocally places the patient in the ≥20% 10-year CV-risk category warranting urgent cardiology evaluation.",
10,My Framingham score came out at 23 percent according to my cardiologist. He said it was high.,20,llm,"Consider a potassium-rich diet to help manage high blood pressure, given the diagnosis of hypertension and the potential for cardiovascular risk reduction through dietary modifications","[LLM] Consider a potassium-rich diet to help manage high blood pressure, given the diagnosis of hypertension and the potential for cardiovascular risk reduction through dietary modifications",2,weak match,"The user only reports a high Framingham score; hypertension is not stated, making 'potassium-rich diet' an unsupported leap, and the suggestion is generic rather than specific to the risk score provided.",
11,I have been feeling a lot of chest tightness after climbing stairs lately.,21,llm,"Incorporate stress-reducing activities into daily routine, such as yoga or meditation, to help manage the interplay between high blood pressure, poor sleep, and elevated HbA1c levels, as chronic stress can exacerbate diabetes management and cardiovascular risk","[LLM] Incorporate stress-reducing activities into daily routine, such as yoga or meditation, to help manage the interplay between high blood pressure, poor sleep, and elevated HbA1c levels, as chronic stress can exacerbate diabetes management and cardiovascular risk",2,weak match,The user mentions exertional chest tightness; the task pivots to generic stress-reduction for diabetes/HbA1c that were never mentioned and does not address the immediate cardiac-type symptom or need for evaluation.,
12,I would like a reminder to take my metformin 500mg every day at 8am starting tomorrow.,22,llm,"Incorporate stress-reducing breaks into daily work routine, aiming for 10-15 minute mindfulness exercises to mitigate the impact of work stress on HbA1c levels and blood pressure management","[LLM] Incorporate stress-reducing breaks into daily work routine, aiming for 10-15 minute mindfulness exercises to mitigate the impact of work stress on HbA1c levels and blood pressure management",1,very poor match,The user explicitly asked for a daily medication reminder but received an unrelated stress-management tip that never addresses the reminder request.,
13,My doctor wants me to come back for a follow-up consultation on 15th July. Can you register that?,23,llm,"Incorporate potassium-rich and fiber-rich foods into daily meals to help manage high blood pressure and potentially mitigate the effects of high LDL cholesterol on cardiovascular health, given the diagnosis of hypertension and high LDL levels","[LLM] Incorporate potassium-rich and fiber-rich foods into daily meals to help manage high blood pressure and potentially mitigate the effects of high LDL cholesterol on cardiovascular health, given the diagnosis of hypertension and high LDL levels",1,very poor match,The user only asked to log a follow-up appointment; the task about dietary changes for hypertension/cholesterol is completely unrelated and introduces medical facts that were not mentioned.,
14,I am allergic to penicillin. Also I cannot eat gluten because of a diagnosed intolerance.,24,llm,"Incorporate gluten-free, high-fiber foods into daily meals to help manage blood pressure and HbA1c levels, considering the patient's gluten intolerance and potential benefits of dietary fiber on cardiovascular health","[LLM] Incorporate gluten-free, high-fiber foods into daily meals to help manage blood pressure and HbA1c levels, considering the patient's gluten intolerance and potential benefits of dietary fiber on cardiovascular health",2,weak match,The query only states a gluten intolerance and penicillin allergy; suggesting fiber for BP/HbA1c is unsupported speculation and unrelated to the actual information provided.,
15,I prefer not to eat red meat. I follow a mostly plant-based diet during the week.,25,llm,"Incorporate stress-reducing physical activity, such as yoga or walking, for 30 minutes, 2 times a week, to help mitigate the impact of work stress on HbA1c levels and blood pressure management, given the interplay between high blood pressure, poor sleep, and elevated HbA1c levels","[LLM] Incorporate stress-reducing physical activity, such as yoga or walking, for 30 minutes, 2 times a week, to help mitigate the impact of work stress on HbA1c levels and blood pressure management, given the interplay between high blood pressure, poor sleep, and elevated HbA1c levels",1,very poor match,"The user expressed a dietary preference, but the task jumps to stress-reducing exercise for HbA1c and blood pressure with no mention of stress, diabetes, hypertension, or prior exercise discussion.",
16,I lost 2 kg this month. My current weight is now 100 kg. Please update my weight.,26,llm,"Incorporate stress-reducing breathing exercises during daily commutes to mitigate the impact of work stress on HbA1c levels and blood pressure management, given the history of high stress, poor sleep, and recent diagnosis of type 2 diabetes with an HbA1c of 8.3%","[LLM] Incorporate stress-reducing breathing exercises during daily commutes to mitigate the impact of work stress on HbA1c levels and blood pressure management, given the history of high stress, poor sleep, and recent diagnosis of type 2 diabetes with an HbA1c of 8.3%",1,very poor match,"The user simply asked to record a 2 kg weight change; the reply ignores this request and instead prescribes stress-management for diabetes, which is unrelated to the current query.",
17,"I checked my blood pressure at the pharmacy today, it was 148 over 90. A bit better.",27,llm,"Incorporate magnesium-rich foods into daily meals to help manage high blood pressure and potentially mitigate the effects of high LDL cholesterol on cardiovascular health, given the diagnosis of hypertension, high LDL levels, and potential benefits of dietary magnesium on blood pressure regulation","[LLM] Incorporate magnesium-rich foods into daily meals to help manage high blood pressure and potentially mitigate the effects of high LDL cholesterol on cardiovascular health, given the diagnosis of hypertension, high LDL levels, and potential benefits of dietary magnesium on blood pressure regulation",2,weak match,"The user only reported an isolated BP reading (148/90) and called it 'a bit better.' Nothing about hypertension diagnosis, LDL, or magnesium. Advising specific mineral-diet therapy is premature and unsupported.",
18,I slept 7 hours last night for the first time in months. I felt much better this morning.,28,llm,"Incorporate stress-reducing, short, morning walks of 10-15 minutes, 3 times a week, to help mitigate the impact of work stress on HbA1c levels and blood pressure management, given the recent improvement in blood pressure and the potential for physical activity to further enhance cardiovascular health","[LLM] Incorporate stress-reducing, short, morning walks of 10-15 minutes, 3 times a week, to help mitigate the impact of work stress on HbA1c levels and blood pressure management, given the recent improvement in blood pressure and the potential for physical activity to further enhance cardiovascular health",2,weak match,"User only mentions improved sleep; task jumps to stress-reducing walks, HbA1c, and blood pressure without any mention of these issues in the query, making it largely unsupported and generic.",
19,I went for a 30 minute walk today. I want to start exercising daily.,29,llm,"Incorporate stress-reducing, morning sunlight exposure for 10-15 minutes, 3 times a week, to help regulate circadian rhythms and potentially improve HbA1c levels, given the history of poor sleep, high stress, and recent diagnosis of type 2 diabetes with an HbA1c of 8.3%","[LLM] Incorporate stress-reducing, morning sunlight exposure for 10-15 minutes, 3 times a week, to help regulate circadian rhythms and potentially improve HbA1c levels, given the history of poor sleep, high stress, and recent diagnosis of type 2 diabetes with an HbA1c of 8.3%",1,very poor match,"The user simply reported a walk and expressed intent to exercise daily; the task jumps to detailed circadian/sleep interventions and HbA1c goals that the user never mentioned, making it irrelevant to the current query.",
20,"My stress level has been very high lately, about 8 out of 10. Work has been overwhelming.",30,llm,"Incorporate short breaks for stretching and movement every hour during work to mitigate the impact of prolonged sitting on abdominal circumference and cardiovascular health, given the history of high blood pressure, type 2 diabetes, and sedentary job","[LLM] Incorporate short breaks for stretching and movement every hour during work to mitigate the impact of prolonged sitting on abdominal circumference and cardiovascular health, given the history of high blood pressure, type 2 diabetes, and sedentary job",2,weak match,"While taking movement breaks might loosely help stress, the task pivots to unmentioned issues—abdominal circumference, BP, diabetes—making it feel generic and poorly tied to the user’s stated problem of high work-related stress.",
